t_s,ball_x_px,ball_y_px,setpoint_x_px,setpoint_y_px,err_x_m_window,err_y_m_window,servo1_deg,servo2_deg,servo3_deg
3.258362770080566406e+00,2.516953430175781250e+02,1.897465057373046875e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.442800931632518768e-03,8.799142204225063324e-03,2.210043107880643731e+01,3.822656619568513747e+01,4.260427204258819245e+01
3.294887304306030273e+00,2.516953430175781250e+02,1.897465057373046875e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.442800931632518768e-03,8.799142204225063324e-03,2.011544820133028821e+01,3.951346204733797407e+01,4.326635001447151296e+01
3.327075242996215820e+00,2.517323760986328125e+02,1.896564178466796875e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.428373813629150391e-03,8.834238164126873016e-03,1.990289637448916338e+01,3.954478665346454846e+01,4.344272869262484704e+01
3.355997085571289062e+00,2.519411773681640625e+02,1.900000000000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.347031168639659882e-03,8.700388483703136444e-03,2.091062303122664190e+01,3.870671623684676632e+01,4.329941875181531685e+01
3.386688947677612305e+00,2.518612670898437500e+02,1.882439422607421875e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.378162022680044174e-03,9.384495206177234650e-03,1.597338978140884080e+01,4.160937055007659779e+01,4.512123363619902250e+01
3.419627189636230469e+00,2.514953308105468750e+02,1.887336425781250000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.520719569176435471e-03,9.193723089993000031e-03,2.101519715982230707e+01,3.973292808927708819e+01,4.215602338879976685e+01
3.458332538604736328e+00,2.514953308105468750e+02,1.877336425781250000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.520719569176435471e-03,9.583292528986930847e-03,1.788352342688173380e+01,4.059680952172301716e+01,4.433375794834130801e+01
3.488330364227294922e+00,2.518717956542968750e+02,1.890512847900390625e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.374060012400150299e-03,9.069979190826416016e-03,2.270581794667034714e+01,3.757455822859184735e+01,4.265641778925868977e+01
3.514201879501342773e+00,2.522530059814453125e+02,1.898795166015625000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.225552245974540710e-03,8.747325278818607330e-03,2.218789571101495284e+01,3.763356079212825023e+01,4.311375344663874642e+01
3.562243700027465820e+00,2.528717956542968750e+02,1.890512847900390625e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.984490573406219482e-03,9.069979190826416016e-03,1.881386041180264712e+01,3.930505650256534977e+01,4.474072608196274814e+01
3.594993114471435547e+00,2.518222503662109375e+02,1.893688201904296875e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.393361672759056091e-03,8.946277201175689697e-03,2.069065359411874994e+01,4.106417847246352437e+01,4.111341270491921307e+01
3.633546829223632812e+00,2.512449035644531250e+02,1.876802673339843750e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.618278402835130692e-03,9.604086168110370636e-03,1.673678708043318508e+01,4.202952514082044644e+01,4.397424325277555823e+01
3.663007259368896484e+00,2.506296844482421875e+02,1.868544616699218750e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.857949145138263702e-03,9.925794787704944611e-03,1.763869648687829894e+01,4.208969978825099645e+01,4.305023435094864936e+01
3.690582752227783203e+00,2.506208343505859375e+02,1.868012237548828125e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.861396901309490204e-03,9.946535341441631317e-03,1.964564663997250804e+01,3.984222835817971031e+01,4.339311278965541163e+01
3.723262071609497070e+00,2.515492095947265625e+02,1.874108581542968750e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.499729886651039124e-03,9.709039703011512756e-03,2.113499478903412765e+01,3.732650169532664819e+01,4.446008790182652604e+01
3.753955841064453125e+00,2.518255767822265625e+02,1.872383728027343750e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.392065737396478653e-03,9.776234626770019531e-03,1.943012386586715934e+01,3.934846866402627086e+01,4.410127643027152544e+01
3.794437646865844727e+00,2.522031250000000000e+02,1.880000000000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.244984291493892670e-03,9.479528293013572693e-03,2.123622353814347719e+01,3.834992213645748649e+01,4.333739811098456585e+01
3.828431129455566406e+00,2.519615325927734375e+02,1.871923065185546875e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.339101422578096390e-03,9.794181212782859802e-03,1.815491428575428401e+01,4.083207966051470805e+01,4.383497243918509412e+01
3.851704597473144531e+00,2.506131439208984375e+02,1.878266448974609375e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.864392966032028198e-03,9.547062218189239502e-03,2.160267523069856566e+01,4.203312665328640918e+01,3.918639348564609293e+01
